id,neighbouring_patches_ids
P0-0,P0-1:ELEM:P1-0
P0-1,P0-0:ELEM:P0-2:ELEM:P1-1
P0-2,P0-1:ELEM:P1-2
P1-0,P1-1:ELEM:P0-0:ELEM:P2-0
P1-1,P1-0:ELEM:P1-2:ELEM:P0-1:ELEM:P2-1
P1-2,P1-1:ELEM:P0-2:ELEM:P2-2
P2-0,P2-1:ELEM:P1-0:ELEM:P3-0
P2-1,P2-0:ELEM:P2-2:ELEM:P1-1:ELEM:P3-1
P2-2,P2-1:ELEM:P1-2:ELEM:P3-2
P3-0,P3-1:ELEM:P2-0:ELEM:P4-0
P3-1,P3-0:ELEM:P3-2:ELEM:P2-1:ELEM:P4-1
P3-2,P3-1:ELEM:P2-2:ELEM:P4-2
P4-0,P4-1:ELEM:P3-0:ELEM:P5-0
P4-1,P4-0:ELEM:P4-2:ELEM:P3-1:ELEM:P5-1
P4-2,P4-1:ELEM:P3-2:ELEM:P5-2
P5-0,P5-1:ELEM:P4-0
P5-1,P5-0:ELEM:P5-2:ELEM:P4-1
P5-2,P5-1:ELEM:P4-2
